Día,Formato,ID,Tema,CTA,Métrica,Estado
1,Reel + Short,R01,Presupuestos en segundos,Comenta PRESUPUESTO,Comentarios con palabra clave y formularios confirmados,Pendiente
3,Stories,,Encuesta: ¿qué tarea te quita más tiempo?,Ver pieza,Alcance y acciones,Pendiente
5,Reel + Short,R02,Reseña negativa,Comenta RESEÑA,"Guardados, comentarios y respuestas por DM",Pendiente
7,Carrusel,,5 usos prácticos de IA en un taller,Ver pieza,Alcance y acciones,Pendiente
9,Reel + Short,R03,Recupera presupuestos,Comenta SEGUIMIENTO,Comentarios y contactos que solicitan el ejemplo,Pendiente
11,Stories,,Caja de preguntas sobre presupuestos,Ver pieza,Alcance y acciones,Pendiente
13,Reel + Short,R04,Llena los días flojos,Comenta AGENDA,Conversaciones iniciadas y solicitudes del recurso,Pendiente
15,YouTube largo,Y01,Y01,Ver pieza,Alcance y acciones,Pendiente
17,Reel + Short,R05,Cliente que regatea,Comenta VALOR,Comentarios VALOR y compartidos,Pendiente
19,Carrusel,,Errores al responder objeciones,Ver pieza,Alcance y acciones,Pendiente
21,Reel + Short,R06,Recordatorios que vuelven,Comenta RECORDATORIO,Solicitudes de plantilla y formularios completados,Pendiente
23,Stories,,Caso práctico y enlace al formulario,Ver pieza,Alcance y acciones,Pendiente
25,Reel + Short,R07,Antes y después,Comenta TIEMPO,"Retención a 3 segundos, compartidos y comentarios",Pendiente
27,YouTube largo,Y02,Y02,Ver pieza,Alcance y acciones,Pendiente
29,Reel + Short,R08,Prompt de diagnóstico comercial,Comenta DIAGNÓSTICO,"Guardados, comentarios y tasa de reproducción completa",Pendiente
30,Stories,,Resumen y llamada a solicitar ejemplos,Ver pieza,Alcance y acciones,Pendiente
